review_text,rating,date
"Menu online differs from actual menu. Very confusing ordering experience.",2,2024-02-15
"Incredible wood fired pizza with perfect crispy crust. Authentic!",5,2024-02-16
"Driver left food at wrong address. Support team was no help.",1,2024-02-17
"Family meal deal is fantastic value. Everyone enjoyed their food.",5,2024-02-18
"Food hygiene rating should be checked before ordering here again.",1,2024-02-19
"Consistently excellent quality. My go-to restaurant for special occasions.",5,2024-02-20
"Tacos were packed with flavor. Fresh salsa made all the difference.",5,2024-02-21
"App keeps showing wrong delivery time. Very frustrating experience.",2,2024-02-22
"Homemade pasta with truffle sauce was absolutely extraordinary.",5,2024-02-23
"Delivery charge keeps increasing but service quality is declining.",2,2024-02-24
"Breakfast burrito was massive and delicious. Perfect weekend treat.",5,2024-02-25
"Ordered lunch at noon and received it at dinner time. Unacceptable.",1,2024-02-26
"Korean BBQ flavors were authentic and portions were very generous.",5,2024-02-27
"Missing items from order and restaurant refuses to acknowledge.",1,2024-02-28
"Affordable prices with above average taste. Good local option.",4,2024-03-01
"Seasonal menu changes keep things interesting and fresh.",4,2024-03-02
"Food was swimming in oil. Felt sick after eating. Poor quality.",1,2024-03-03
"Handmade dumplings were exceptional. Worth every penny spent.",5,2024-03-04
"Service charge added without disclosure. Felt deceived as customer.",2,2024-03-05
"Mediterranean platter was fresh and beautifully presented.",5,2024-03-06
"Allergy information on menu is inadequate and potentially dangerous.",1,2024-03-07
"Smoothie bowls are nutritious and taste incredible. Love them.",5,2024-03-08
"Order tracking app stopped working mid delivery. Very stressful.",2,2024-03-09
"Indian thali had perfect balance of flavors. Authentic experience.",5,2024-03-10
"Packaging uses too much plastic. Environmentally irresponsible business.",2,2024-03-11
"Grilled salmon was perfectly cooked with delicious herb butter.",5,2024-03-12
"Forgot cutlery and napkins again. Happens every single time.",2,2024-03-13
"Creative fusion menu with bold flavors. Genuinely unique dining.",5,2024-03-14
"Food sat in delivery bag for too long. Quality suffered badly.",2,2024-03-15
"Lobster bisque was rich and deeply flavorful. Restaurant quality.",5,2024-03-16
"Customer loyalty program is confusing and rewards are minimal.",2,2024-03-17
"Freshly baked bread delivered warm to my door. Absolutely heavenly.",5,2024-03-18
"Portion control is inconsistent. Sometimes good sometimes tiny.",2,2024-03-19
"Ramen broth was deeply complex and noodles perfectly textured.",5,2024-03-20
"Promotional discount did not apply at checkout. Felt cheated.",2,2024-03-21
"Weekend brunch menu is spectacular. Cannot recommend highly enough.",5,2024-03-22
"Noise level in restaurant makes conversation impossible.",2,2024-03-23
"Pad Thai was perfectly balanced with fresh lime and peanuts.",5,2024-03-24
"Website is not mobile friendly. Ordering process is frustrating.",2,2024-03-25
"Cheesecake was creamy and rich with perfect graham cracker base.",5,2024-03-26
"Delivery instructions completely ignored every single time.",2,2024-03-27
"Nutritious healthy options that actually taste amazing. Rare find.",5,2024-03-28
"Bill was incorrect and manager was dismissive about the error.",1,2024-03-29
"Birthday cake surprise from restaurant was a lovely personal touch.",5,2024-03-30
"Food smelled off when it arrived. Did not feel safe eating it.",1,2024-04-01
"Wagyu beef burger was juicy and incredibly flavorful. Outstanding.",5,2024-04-02
"Waiting list system is disorganized and staff communication poor.",2,2024-04-03
"Seasonal vegetable risotto was creamy and perfectly seasoned.",5,2024-04-04
"Delivery bag was damaged and food container opened during transit.",2,2024-04-05
"Craft beer pairing suggestions from staff were excellent choices.",5,2024-04-06
"Reservations system keeps losing bookings. Happened three times.",1,2024-04-07
"Stone baked pizza arrived perfectly crispy with quality toppings.",5,2024-04-08
"Hidden service charge added without menu disclosure. Unethical.",1,2024-04-09
"Kids menu is imaginative and portions are appropriate for children.",4,2024-04-10
"Fish and chips were perfectly battered and chips golden crispy.",5,2024-04-11
"Food photos on menu are heavily edited. Reality is disappointing.",2,2024-04-12
"Tiramisu was the best I have tasted outside of Italy. Incredible.",5,2024-04-13
"Staff forgot my dietary requirements after I clearly explained them.",2,2024-04-14
"Authentic Mexican street food flavors that transport you completely.",5,2024-04-15
"Price doubled since last year but quality has not improved at all.",2,2024-04-16
"Afternoon tea service was elegant and every item was delicious.",5,2024-04-17
"App shows restaurant as open but they rejected my order immediately.",1,2024-04-18
"Handcrafted cocktails perfectly complement the exceptional food menu.",5,2024-04-19
"Vegetarian options are limited and unimaginative. Needs improvement.",2,2024-04-20
